,date,Delhi,Uttar Pradesh,Maharashtra,Rajasthan,Bengal
0,2016-05-25,22,8,3,9,1
1,2016-05-26,3,4,4,3,0
2,2016-05-27,8,21,23,0,2
3,2016-05-28,6,11,6,0,4
4,2016-05-29,14,1,0,19,0
6,2016-05-31,11,12,3,4,1
7,2016-06-01,6,20,2,2,2
8,2016-06-02,39,5,4,1,1
9,2016-06-03,8,2,4,3,2
10,2016-06-04,14,4,1,13,4
11,2016-06-05,0,4,16,0,0
12,2016-06-06,0,0,0,0,1
13,2016-06-07,13,4,20,7,1
14,2016-06-08,7,10,1,2,1
15,2016-06-09,34,11,2,4,1
16,2016-06-10,3,12,1,4,0
17,2016-06-11,17,2,2,3,2
18,2016-06-12,3,8,1,0,0
19,2016-06-13,0,0,0,1,0
20,2016-06-14,12,4,1,0,2
21,2016-06-15,24,6,2,1,3
22,2016-06-16,18,13,8,1,13
23,2016-06-17,3,11,4,2,4
24,2016-06-18,6,11,20,2,5
25,2016-06-19,6,9,2,0,4
26,2016-06-20,0,2,36,0,1
27,2016-06-21,26,5,6,5,2
28,2016-06-22,12,5,4,0,3
29,2016-06-23,8,4,6,2,2
30,2016-06-24,24,9,9,7,6
31,2016-06-25,19,0,8,1,1
32,2016-06-26,1,3,0,1,0
33,2016-06-27,6,1,1,1,0
34,2016-06-28,16,5,8,1,1
35,2016-06-29,6,6,4,0,2
36,2016-06-30,10,0,16,2,1
37,2016-07-01,14,7,10,1,3
38,2016-07-02,4,6,3,3,5
39,2016-07-03,3,1,3,1,2
41,2016-07-05,12,2,10,3,3
42,2016-07-06,3,2,7,1,10
43,2016-07-07,2,1,2,15,0
44,2016-07-08,18,10,9,11,4
45,2016-07-09,14,6,8,8,1
46,2016-07-10,0,5,4,14,2
47,2016-07-11,4,0,35,0,0
48,2016-07-12,9,12,4,5,5
49,2016-07-13,5,7,10,7,11
50,2016-07-14,5,6,1,3,14
51,2016-07-15,41,4,6,3,3
52,2016-07-16,13,8,4,4,1
53,2016-07-17,1,0,16,0,1
54,2016-07-18,0,0,0,1,1
55,2016-07-19,9,7,19,4,4
56,2016-07-20,19,4,4,0,3
57,2016-07-21,6,9,6,2,8
58,2016-07-22,6,14,3,5,1
59,2016-07-23,13,3,9,1,0
60,2016-07-24,4,1,12,1,0
61,2016-07-25,2,0,16,0,4
62,2016-07-26,13,5,30,3,0
63,2016-07-27,48,7,5,2,3
64,2016-07-28,20,4,6,0,3
65,2016-07-29,15,5,3,10,1
66,2016-07-30,5,8,12,2,2
67,2016-07-31,4,3,3,1,0
69,2016-08-02,18,25,6,4,2
70,2016-08-03,21,6,6,0,5
71,2016-08-04,10,10,9,2,4
72,2016-08-05,13,18,36,2,4
73,2016-08-06,16,1,8,14,1
74,2016-08-07,2,2,1,1,2
75,2016-08-08,2,0,0,5,0
76,2016-08-09,47,7,9,9,6
77,2016-08-10,16,5,12,1,3
78,2016-08-11,17,9,32,4,4
79,2016-08-12,7,6,17,1,0
80,2016-08-13,1,1,3,1,3
81,2016-08-14,2,4,2,1,2
82,2016-08-15,0,0,0,2,0
83,2016-08-16,0,1,1,0,1
84,2016-08-17,20,11,8,14,7
85,2016-08-18,14,5,3,3,2
86,2016-08-19,9,6,22,3,8
87,2016-08-20,16,6,2,5,3
88,2016-08-21,1,8,25,1,0
89,2016-08-22,0,2,2,0,0
90,2016-08-23,21,13,31,3,6
91,2016-08-24,16,9,6,4,2
92,2016-08-25,11,4,7,3,7
93,2016-08-26,0,16,12,0,0
94,2016-08-27,16,6,24,6,8
95,2016-08-28,3,1,2,0,9
96,2016-08-29,0,1,0,0,0
97,2016-08-30,20,7,6,4,2
98,2016-08-31,26,6,13,6,1
99,2016-09-01,24,3,26,4,4
100,2016-09-02,11,4,21,3,9
101,2016-09-03,8,2,4,3,2
102,2016-09-04,19,2,4,0,4
103,2016-09-05,0,0,0,1,0
104,2016-09-06,11,7,2,0,0
105,2016-09-07,10,12,22,1,0
106,2016-09-08,13,3,15,0,8
107,2016-09-09,23,2,8,3,2
108,2016-09-10,19,1,10,3,7
109,2016-09-11,19,1,13,0,0
110,2016-09-12,0,0,1,0,0
111,2016-09-13,8,7,37,2,6
112,2016-09-14,11,2,7,5,5
113,2016-09-15,14,3,38,4,5
114,2016-09-16,11,2,7,4,5
115,2016-09-17,11,11,24,9,4
116,2016-09-18,3,2,4,10,2
117,2016-09-19,1,0,0,0,0
118,2016-09-20,12,4,25,11,3
119,2016-09-21,9,2,8,2,4
120,2016-09-22,21,2,11,0,3
121,2016-09-23,4,2,83,1,5
122,2016-09-24,2,2,30,1,2
123,2016-09-25,4,1,1,0,2
124,2016-09-26,1,0,0,1,0
125,2016-09-27,9,4,6,4,4
126,2016-09-28,6,7,22,8,5
127,2016-09-29,4,6,22,8,5
128,2016-09-30,15,2,29,9,6
129,2016-10-01,21,18,12,2,1
130,2016-10-02,19,15,21,3,1
131,2016-10-03,0,2,0,1,0
132,2016-10-04,13,1,8,0,9
133,2016-10-05,3,5,33,2,3
134,2016-10-06,5,3,13,16,3
135,2016-10-07,7,1,27,3,0
136,2016-10-08,2,5,36,14,0
137,2016-10-09,0,2,2,0,1
138,2016-10-10,0,1,1,1,0
139,2016-10-11,1,4,24,4,0
140,2016-10-12,2,2,12,1,0
141,2016-10-13,0,0,4,2,0
142,2016-10-14,1,8,9,2,1
143,2016-10-15,13,4,17,14,1
144,2016-10-16,20,9,0,0,0
